Purchasing Group,Purchasing Document,Incoterm,Item,Purchasing Document Item,Acct Assignment Cat.,Item Category,Cost Center,Order,WBS Element,G/L Account,Budget Type,Material Code,Order Quantity,Order Unit,Net price,Net Order Value,Still todelivered (qty),Still todelivered (value),Still toinvoiced (qty),Currency,Validity Per. Start,Validity Period End,Document Date,Vendor/supplying plant,Purchasing Doc. Type,Plant,Release indicator,Release Strategy,Release status,Deletion Indicator,No. of Positions,Outline Agreement,Principal Agmt Item,Collective Number,Req. Tracking Number,Puhase Requisition,Item of Requisition,Requesitioner
907,3100077233,LOCAL,10,310007723300010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1700018958,1,SET,6350,6350,0,0,0,THB,2015.02.17,2015.03.17,2015.02.17,104744,O100,1102,R,01,X,,1,5100000320,870,,4752944,,0,940
906,3100077484,LOCAL,190,310007748400190,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500004674,7,BT,3230,22610,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,630,,,,0,940
906,3100077484,LOCAL,200,310007748400200,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500004673,2,BT,3100,6200,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,640,,,,0,940
906,3100077484,LOCAL,180,310007748400180,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500004144,2,BT,1860,3720,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,600,,,,0,940
906,3100077483,LOCAL,90,310007748300090,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500002304,1000,G,1400,2800,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,330,,4772434,,0,940
906,3100077484,LOCAL,10,310007748400010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500002266,28000,ML,500,3500,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,70,,4772434,,0,940
906,3100077063,LOCAL,10,310007706300010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001801,5200,L,47.5,247000,0,0,0,THB,2015.02.12,2015.03.31,2015.02.12,902005,O100,1102,R,01,X,,1,5100000342,220,,MIN-MAX,,0,940
906,3100076943,LOCAL,10,310007694300010,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001798,1800,L,48,86400,0,0,0,THB,2015.02.09,2015.03.09,2015.02.09,902005,O100,1102,R,01,X,,1,5100000342,190,,MIN-MAX,,0,940
906,3100077483,LOCAL,80,310007748300080,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001766,4000,ML,660,660,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,290,,4772434,,0,940
906,3100077483,LOCAL,100,310007748300100,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001739,5,L,400,2000,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,360,,4772434,,0,940
906,3100077483,LOCAL,70,310007748300070,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001699,7500,ML,350,1050,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,280,,4772434,,0,940
906,3100077484,LOCAL,170,310007748400170,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001582,4000,G,445,1780,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,560,,,,0,940
906,3100077484,LOCAL,160,310007748400160,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001574,2000,G,400,800,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,540,,,,0,940
906,3100077484,LOCAL,150,310007748400150,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001558,7000,G,265,1855,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,520,,,,0,940
906,3100077484,LOCAL,140,310007748400140,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001545,2000,G,135,270,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,500,,,,0,940
906,3100077484,LOCAL,130,310007748400130,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001439,11,L,1900,20900,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,100426,O100,1102,R,01,X,,1,5100000346,490,,,,0,940
906,3100077483,LOCAL,60,310007748300060,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001421,4000,G,2550,10200,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,250,,4772434,,0,940
906,3100077483,LOCAL,50,310007748300050,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001231,35000,ML,780,10920,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,200,,4772434,,0,940
906,3100077483,LOCAL,40,310007748300040,,,#N/A,#N/A,#N/A,#N/A,Non Checking Budget,1500001227,2500,ML,1130,1130,0,0,0,THB,2015.02.25,2015.03.25,2015.02.25,103080,O100,1102,R,01,X,,1,5100000347,180,,4772434,,0,940
